title,rating,type,duration
"Love, Rosie",R,Movie,103 min
Memory Games,TV-14,Movie,86 min
Monster Family,PG,Movie,93 min
Monster-in-Law,PG-13,Movie,101 min
Morris from America,R,Movie,91 min
Mr. Gaga: A True Story of Love and Dance,TV-14,Movie,102 min
NSU German History X,TV-MA,TV Show,1 Season
Nymphomaniac: Volume 1,NR,Movie,117 min
Nymphomaniac: Volume II,TV-MA,Movie,124 min
Our House,PG-13,Movie,90 min
Personal Shopper,R,Movie,105 min
Pope Francis: A Man of His Word,PG,Movie,96 min
Remember,R,Movie,95 min
Resident Evil: Afterlife,R,Movie,97 min
Room on the Broom,TV-Y7,Movie,26 min
Rumor Has It,PG-13,Movie,97 min
Sherlock Holmes,PG-13,Movie,128 min
Take Me Home Tonight,R,Movie,97 min
Temporada de Caza,TV-MA,Movie,108 min
Terminator 3: Rise of the Machines,R,Movie,109 min
Terminator Salvation,PG-13,Movie,115 min
The Cakemaker,TV-14,Movie,109 min
The Congress,TV-MA,Movie,123 min
The Jungle Book,TV-Y7,TV Show,1 Season
The Land of the Enlightened,TV-MA,Movie,84 min
The Lives of Others,R,Movie,138 min
The Look of Silence,PG-13,Movie,103 min
The Love Guru,PG-13,Movie,87 min
The Making of Frozen Planet,TV-PG,TV Show,1 Season
The Mask of Zorro,PG-13,Movie,138 min
The NSU-Complex,TV-14,Movie,90 min
The Physician,R,Movie,155 min
The Rainmaker,PG-13,Movie,136 min
The Score,R,Movie,124 min
Tip the Mouse,TV-Y,TV Show,1 Season
Trash,R,Movie,114 min
Unfinished Song,PG-13,Movie,94 min
V for Vendetta,R,Movie,132 min
Where the Money Is,PG-13,Movie,89 min
